rank,content_id,decline_score,reason_code,action_label,avg_position,engagement_rate,ctr,days_since_last_update,word_count,is_declining_label
1,content_91067a14431a,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,27.1,0.0,0.0,104,2802.0,1
2,content_79a5a52721ed,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,19.3,0.0,0.0,104,7217.0,1
3,content_cbcbb97ac631,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,17.7,0.0,0.0,104,5479.0,1
4,content_aa520cbda297,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,38.9,0.0,0.07,104,1523.0,1
5,content_2028099fd151,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,23.5,0.0,0.09,104,6466.0,1
6,content_6c3dbc355efa,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,51.8,0.0,0.0,104,,1
7,content_5f7bb3448ce0,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,43.1,0.0,0.0,104,1297.0,1
8,content_0be9c8b657e4,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,47.8,0.0,0.0,104,1288.0,0
9,content_1624a906686f,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,30.3,0.58,0.04,104,6492.0,1
10,content_de6daf8fa5be,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,28.3,0.85,0.04,104,4816.0,0
11,content_4906a791180b,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,46.4,0.0,0.04,104,4965.0,1
12,content_45c46ffdfc85,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,17.1,0.0,0.0,104,1479.0,1
13,content_6454c6573f65,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,15.6,0.0,0.0,104,6769.0,1
14,content_6cb1ccf2085a,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,15.8,0.0,0.0,104,1366.0,1
15,content_0c6e9f332513,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,40.4,0.0,0.02,104,5901.0,1
16,content_2aaf95ecd542,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,54.7,0.0,0.0,104,,0
17,content_65aaa3e3b127,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,17.3,0.0,0.0,104,5699.0,1
18,content_8d2efba45f13,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,63.1,0.0,0.0,104,,1
19,content_e4c4bdcd0152,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,24.1,0.0,0.0,104,,1
20,content_762b1eb1edd2,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,17.0,0.0,0.0,104,1127.0,1
21,content_17a0fc02d9e7,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,40.2,0.0,0.08,104,1708.0,1
22,content_e3ee964b3d99,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,31.9,0.0,0.01,104,7790.0,1
23,content_ec1f3d01d0ee,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,47.9,0.0,0.0,104,3483.0,1
24,content_62c67fa2fa99,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,15.9,0.75,0.07,104,5796.0,1
25,content_88b02797ac10,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,52.9,0.0,0.0,104,1357.0,1
26,content_dd56958385a4,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,15.4,0.0,0.0,104,3360.0,1
27,content_39248d31458f,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,27.9,0.0,0.0,104,1634.0,1
28,content_e8baefc221d3,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,20.4,0.0,0.0,104,1569.0,0
29,content_aa04fcd90504,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,43.4,0.19,0.02,104,5309.0,1
30,content_2d55e2e5a998,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,40.5,0.0,0.0,104,,0
31,content_0beb22756a9b,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,22.5,0.0,0.0,104,5368.0,0
32,content_7fb9f4c4a095,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,15.5,0.0,0.07,104,5158.0,1
33,content_ca560ef92c17,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,25.3,0.0,0.0,104,6242.0,1
34,content_0bcf5514ae1c,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,31.5,0.38,0.07,104,5740.0,1
35,content_2aa2be227319,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,33.9,0.0,0.0,104,5882.0,1
36,content_2ba4b9c76714,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,52.1,0.0,0.0,104,6026.0,1
37,content_44bc6be6a3a7,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,18.9,0.0,0.0,104,,1
38,content_a1defa0ee34a,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,43.1,0.0,0.0,104,,0
39,content_4964e18e0a61,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,17.4,0.0,0.0,104,4914.0,1
40,content_fae4e95a4efd,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,36.7,0.0,0.0,104,1439.0,1
41,content_bc9233c49b68,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,37.8,0.0,0.04,104,,0
42,content_a73de2878d2b,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,20.0,0.0,0.03,104,1583.0,0
43,content_fac1809db398,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,34.9,0.0,0.0,104,1543.0,1
44,content_a59988d4dd03,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,30.2,0.0,0.0,104,5876.0,1
45,content_3159d84a031c,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,20.2,0.0,0.0,104,5491.0,0
46,content_48eab038ab58,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,56.7,0.0,0.0,104,,0
47,content_d85bce661016,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,24.1,0.0,0.0,104,,1
48,content_3921a7d7066d,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,74.1,0.0,0.0,104,,0
49,content_4618f0735a79,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,28.9,0.0,0.04,104,7174.0,0
